customer_id,age,income,tenure,city,churn
1,56,70585.6669482087,114,Bursa,0
2,69,39833.20860509924,58,Istanbul,0
3,46,67302.97808011803,60,Bursa,0
4,32,44374.840574452784,104,Istanbul,1
5,60,39587.81069738759,21,Istanbul,1
6,25,51647.90109564873,28,Ankara,0
7,78,55136.85377011271,75,Izmir,0
8,38,78672.94409764142,119,Bursa,0
9,56,54793.06368303072,34,Ankara,0
10,75,52899.170927740786,8,Istanbul,0
11,36,73942.1441585245,59,Bursa,0
12,40,59015.80916317305,86,Istanbul,0
13,28,40335.87229748078,72,Izmir,0
14,28,70339.55577962288,49,Ankara,1
15,41,38905.71845855971,79,Izmir,1
16,70,40261.29082499436,17,Ankara,0
17,53,37272.1895091813,60,Istanbul,1
18,57,35956.32457583066,87,Izmir,0
19,41,54997.59942259737,88,Izmir,0
20,20,46131.46753184685,45,Istanbul,1
21,39,-2172.538204548342,83,Izmir,1
22,70,45976.05407075731,69,Bursa,1
23,19,42231.316162915486,32,Ankara,0
24,41,63392.38046448283,44,Ankara,0
25,61,41551.12082809456,65,Ankara,1
26,47,88088.86686816339,87,Bursa,0
27,55,70951.90368155364,101,Ankara,0
28,19,44151.34413485333,8,Istanbul,0
29,77,67244.34618249623,77,Izmir,0
30,38,57878.175690364216,72,Bursa,0
31,50,53501.986947203644,87,Ankara,0
32,29,62039.78383411144,43,Istanbul,1
33,75,50811.063113907294,1,Izmir,0
34,39,53605.267341162165,109,Izmir,0
35,78,62350.287744184476,51,Bursa,0
36,61,80786.79112618235,24,Bursa,0
37,42,53767.92458329511,99,Bursa,0
38,66,43193.05002541766,24,Istanbul,0
39,44,19561.53717359017,17,Istanbul,1
40,76,79419.55207945456,5,Bursa,0
41,59,46051.3743114206,20,Ankara,1
42,45,58022.139351219004,21,Izmir,0
43,77,78588.60855390491,104,Izmir,0
44,33,53414.034813957376,58,Istanbul,0
45,32,47079.9460718378,31,Izmir,0
46,79,71295.09466315617,110,Ankara,1
47,79,56911.05601345879,100,Izmir,0
48,64,58791.58407085101,11,Istanbul,0
49,79,27152.58694292359,52,Istanbul,1
50,68,68088.72810863878,15,Ankara,1
51,61,55633.82101987468,83,Ankara,1
52,72,29426.15930415314,7,Izmir,0
53,69,57276.411674199124,115,Izmir,1
54,74,19062.11489132376,28,Istanbul,0
55,20,85129.62803769493,51,Ankara,0
56,54,33472.17800027359,107,Ankara,0
57,68,74176.89148577653,58,Ankara,0
58,24,37805.6667782202,5,Izmir,0
59,38,58403.385664560796,5,Ankara,0
60,26,36318.07615085752,94,Istanbul,1
61,56,64956.7283284673,118,Istanbul,0
62,35,46470.21887139122,96,Izmir,0
63,21,57016.69319311564,8,Bursa,0
64,42,50225.96572368492,64,Izmir,1
65,77,29515.028202745165,10,Bursa,0
66,31,57561.60289535801,38,Ankara,0
67,67,42451.43771501378,111,Izmir,1
68,75,65679.69189511416,96,Istanbul,1
69,26,46462.102877739846,112,Ankara,0
70,43,48848.54136457502,92,Istanbul,0
71,70,75243.89696559405,81,Ankara,1
72,19,85724.55191761925,95,Izmir,0
73,37,61790.50933568124,8,Bursa,0
74,45,45692.89853864922,104,Ankara,1
75,64,44380.08007465784,25,Bursa,0
76,77,37719.8452202213,73,Ankara,0
77,24,40621.42724669665,66,Istanbul,0
